id,ortho,cgram,genre,nombre,freqfilms,verper,cvcv,iddersyll,nbsyll,haspir
1,a,NOM,m,,81.36,,V,734,1,-1
2,a,AUX,,,6350.91,3s,V,734,1,-1
3,a,VER,,,5498.34,3s,V,734,1,-1
4,a capella,ADV,,,0.04,,V,2754,4,-1
5,a cappella,ADV,,,0.04,,V,2754,4,-1
6,a contrario,ADV,,,0.0,,V,330,4,-1
7,a fortiori,ADV,,,0.04,,V,268,4,-1
8,a giorno,ADV,,,0.0,,V,3363,3,-1
9,a jeun,ADV,,,0.18,,V,584,2,-1
10,a l'instar,PRE,,,0.26,,V,4568,3,-1
11,a posteriori,ADV,,,0.01,,V,268,5,-1
12,a priori,ADV,,,0.63,,V,268,4,-1
13,a priori,NOM,m,,0.41,,V,268,4,-1
14,aa,NOM,m,s,0.01,,V,734,2,-1
15,ab absurdo,ADV,,,0.0,,V,1429,4,-1
16,ab initio,ADV,,,0.01,,V,4032,4,-1
17,ab ovo,ADV,,,0.0,,V,4970,3,-1
18,abaca,NOM,m,s,0.01,,V,2386,3,-1
19,abaissa,VER,,,0.0,3s,V,3918,3,-1
20,abaissai,VER,,,0.1,1s,V,3861,3,-1
21,abaissaient,VER,,,0.0,3p,V,3861,3,-1
22,abaissait,VER,,,0.02,3s,V,3861,3,-1
23,abaissant,ADJ,m,s,0.03,,V,3848,3,-1
24,abaissant,VER,,,0.01,,V,3848,3,-1
25,abaissante,ADJ,f,s,0.01,,V,3859,3,-1
26,abaisse,NOM,f,s,0.02,,V,836,2,-1
27,abaisse,VER,,,1.28,2s-1s-3s,V,836,2,-1
28,abaisse-langue,NOM,m,,0.04,,V,4104,3,-1
29,abaissement,NOM,m,s,0.31,,V,2964,4,-1
30,abaissent,VER,,,0.05,3p,V,836,2,-1
31,abaisser,VER,,,1.09,,V,3949,3,-1
32,abaissera,VER,,,0.19,3s,V,229,4,-1
33,abaisserai,VER,,,0.1,1s,V,185,4,-1
34,abaisseraient,VER,,,0.01,3p,V,185,4,-1
35,abaisserais,VER,,,0.13,1s-2s,V,185,4,-1
36,abaisserait,VER,,,0.02,3s,V,185,4,-1
37,abaisses,VER,,,0.16,2s,V,836,2,-1
38,abaissez,VER,,,0.53,2p-2p,V,3949,3,-1
39,abaissons,VER,,,0.02,1p,V,4314,3,-1
40,abaissèrent,VER,,,0.0,3p,V,3863,3,-1
41,abaissé,VER,m,s,0.74,,V,3949,3,-1
42,abaissé,ADJ,m,s,0.03,,V,3949,3,-1
43,abaissée,VER,f,s,0.17,,V,3949,3,-1
44,abaissée,ADJ,f,s,0.0,,V,3949,3,-1
45,abaissées,VER,f,p,0.01,,V,3949,3,-1
46,abaissées,ADJ,f,p,0.02,,V,3949,3,-1
47,abaissés,VER,m,p,0.3,,V,3949,3,-1
48,abaissés,ADJ,m,p,0.01,,V,3949,3,-1
49,abalone,NOM,m,s,0.01,,V,2747,3,-1
50,abalones,NOM,m,p,0.0,,V,2747,3,-1
51,abandon,NOM,m,s,4.77,,V,1478,3,-1
52,abandonna,VER,,,0.59,3s,V,3253,4,-1
53,abandonnai,VER,,,0.27,1s,V,3209,4,-1
54,abandonnaient,VER,,,0.07,3p,V,3209,4,-1
55,abandonnais,VER,,,0.35,1s-2s,V,3209,4,-1
56,abandonnait,VER,,,1.04,3s,V,3209,4,-1
57,abandonnant,VER,,,1.15,,V,3206,4,-1
58,abandonnas,VER,,,0.0,2s,V,3253,4,-1
59,abandonne,VER,,,24.04,2s-1s-3s-3s,V,1241,3,-1
60,abandonnent,VER,,,2.44,3p-3p,V,1241,3,-1
61,abandonner,VER,,,28.37,2p,V,3287,4,-1
62,abandonnera,VER,,,1.52,3s,V,229,5,-1
63,abandonnerai,VER,,,2.39,1s,V,185,5,-1
64,abandonneraient,VER,,,0.02,3p,V,185,5,-1
65,abandonnerais,VER,,,0.93,1s-2s,V,185,5,-1
66,abandonnerait,VER,,,0.23,3s,V,185,5,-1
67,abandonneras,VER,,,0.3,2s,V,229,5,-1
68,abandonnerez,VER,,,0.14,2p,V,263,5,-1
69,abandonneriez,VER,,,0.23,2p,V,329,5,-1
70,abandonnerions,VER,,,0.01,1p,V,333,5,-1
71,abandonnerons,VER,,,0.39,1p,V,394,5,-1
72,abandonneront,VER,,,0.41,3p,V,394,5,-1
73,abandonnes,VER,,,4.13,2s-2s,V,1241,3,-1
74,abandonneurs,NOM,m,p,0.0,,V,3199,4,-1
75,abandonnez,VER,,,5.72,2p-2p,V,3287,4,-1
76,abandonniez,VER,,,0.14,2p,V,3352,4,-1
77,abandonnions,VER,,,0.06,1p,V,3362,4,-1
78,abandonnique,ADJ,,s,0.0,,V,3305,4,-1
79,abandonnons,VER,,,1.06,1p-1p,V,3409,4,-1
80,abandonnâmes,VER,,,0.0,1p,V,3273,4,-1
81,abandonnât,VER,,,0.0,3s,V,3253,4,-1
82,abandonnèrent,VER,,,0.16,3p,V,3210,4,-1
83,abandonné,VER,m,s,22.56,,V,3287,4,-1
84,abandonné,ADJ,m,s,3.84,,V,3287,4,-1
85,abandonnée,VER,f,s,7.34,,V,3287,4,-1
86,abandonnée,ADJ,f,s,2.94,,V,3287,4,-1
87,abandonnées,VER,f,p,1.27,,V,3287,4,-1
88,abandonnées,ADJ,f,p,0.44,,V,3287,4,-1
89,abandonnés,VER,m,p,3.55,,V,3287,4,-1
90,abandonnés,ADJ,m,p,1.05,,V,3287,4,-1
91,abandons,NOM,m,p,0.07,,V,1478,3,-1
92,abaque,NOM,m,s,0.0,,V,981,2,-1
93,abasourdi,ADJ,m,s,0.24,,V,1356,4,-1
94,abasourdi,VER,m,s,0.35,,V,1356,4,-1
95,abasourdie,ADJ,f,s,0.14,,V,1356,4,-1
96,abasourdie,VER,f,s,0.12,,V,1356,4,-1
97,abasourdir,VER,,,0.01,,V,1359,4,-1
98,abasourdis,ADJ,m,p,0.02,,V,1356,4,-1
99,abasourdis,VER,m,p,0.07,,V,1356,4,-1
100,abasourdissant,ADJ,m,s,0.01,,V,3848,5,-1
101,abasourdissants,ADJ,m,p,0.0,,V,3848,5,-1
102,abat,NOM,m,s,0.13,,V,963,2,-1
103,abat,VER,,,2.15,3s,V,963,2,-1
104,abat-jour,NOM,m,,0.51,,V,691,3,-1
105,abat-son,NOM,m,,0.0,,V,4314,3,-1
106,abatage,NOM,m,s,0.0,,V,4577,3,-1
107,abatis,NOM,m,,0.0,,V,4613,3,-1
108,abats,NOM,m,p,0.52,,V,963,2,-1
109,abats,VER,,,1.79,2s-1s-2s,V,963,2,-1
110,abattage,NOM,m,s,0.63,,V,4577,3,-1
111,abattages,NOM,m,p,0.02,,V,4577,3,-1
112,abattaient,VER,,,0.06,3p,V,4380,3,-1
113,abattais,VER,,,0.02,1s,V,4380,3,-1
114,abattait,VER,,,0.42,3s,V,4380,3,-1
115,abattant,NOM,m,s,0.05,,V,4368,3,-1
116,abattant,VER,,,0.31,,V,4368,3,-1
117,abattants,NOM,m,p,0.01,,V,4368,3,-1
118,abatte,VER,,,0.58,1s-3s,V,990,2,-1
119,abattement,NOM,m,s,0.17,,V,2964,4,-1
120,abattements,NOM,m,p,0.01,,V,2964,4,-1
121,abattent,VER,,,0.69,3p,V,990,2,-1
122,abattes,VER,,,0.11,2s,V,990,2,-1
123,abatteur,NOM,m,s,0.14,,V,4361,3,-1
124,abatteurs,NOM,m,p,0.0,,V,4361,3,-1
125,abattez,VER,,,2.21,2p-2p,V,4605,3,-1
126,abattiez,VER,,,0.06,2p,V,4667,3,-1
127,abattions,VER,,,0.0,1p,V,4670,3,-1
128,abattirent,VER,,,0.03,3p,V,4616,3,-1
129,abattis,NOM,m,,0.14,,V,4613,3,-1
130,abattis,VER,,,0.0,1s,V,4613,3,-1
131,abattit,VER,,,0.34,3s,V,4613,3,-1
132,abattoir,NOM,m,s,2.67,,V,4724,3,-1
133,abattoirs,NOM,m,p,0.48,,V,4724,3,-1
134,abattons,VER,,,0.33,1p-1p,V,4757,3,-1
135,abattra,VER,,,1.51,3s,V,4487,3,-1
136,abattrai,VER,,,0.39,1s,V,4459,3,-1
137,abattraient,VER,,,0.03,3p,V,4459,3,-1
138,abattrais,VER,,,0.1,1s-2s,V,4459,3,-1
139,abattrait,VER,,,0.63,3s,V,4459,3,-1
140,abattras,VER,,,0.03,2s,V,4487,3,-1
141,abattre,VER,,,14.43,,V,991,2,-1
142,abattrez,VER,,,0.26,2p,V,4504,3,-1
143,abattriez,VER,,,0.02,2p,V,1485,4,-1
144,abattrons,VER,,,0.11,1p,V,4551,3,-1
145,abattront,VER,,,0.34,3p,V,4551,3,-1
146,abattu,VER,m,s,11.48,,V,4734,3,-1
147,abattu,ADJ,m,s,1.82,,V,4734,3,-1
148,abattu,NOM,m,s,0.18,,V,4734,3,-1
149,abattue,VER,f,s,2.19,,V,4734,3,-1
150,abattue,ADJ,f,s,0.18,,V,4734,3,-1
151,abattues,VER,f,p,0.44,,V,4734,3,-1
152,abattues,ADJ,f,p,0.04,,V,4734,3,-1
153,abattures,NOM,f,p,0.0,,V,4735,3,-1
154,abattus,VER,m,p,2.42,,V,4734,3,-1
155,abattus,ADJ,m,p,0.47,,V,4734,3,-1
156,abattus,NOM,m,p,0.35,,V,4734,3,-1
157,abbatial,ADJ,m,s,0.0,,V,4026,3,-1
158,abbatiale,ADJ,f,s,0.0,,V,4026,3,-1
159,abbatiale,NOM,f,s,0.0,,V,4026,3,-1
160,abbatiales,ADJ,f,p,0.0,,V,4026,3,-1
161,abbaye,NOM,f,s,3.66,,V,2108,3,-1
162,abbayes,NOM,f,p,0.28,,V,2108,3,-1
163,abbesse,NOM,f,s,0.26,,V,836,2,-1
164,abbesses,NOM,f,p,0.0,,V,836,2,-1
165,abbé,NOM,m,s,4.19,,V,995,2,-1
166,abbés,NOM,m,p,0.02,,V,995,2,-1
167,abc,NOM,m,,0.04,,V,3949,3,-1
168,abcès,NOM,m,,1.79,,V,3861,2,-1
169,abdication,NOM,f,s,0.05,,V,4038,4,-1
170,abdications,NOM,f,p,0.0,,V,4038,4,-1
171,abdiqua,VER,,,0.0,3s,V,2386,3,-1
172,abdiquai,VER,,,0.0,1s,V,2257,3,-1
173,abdiquaient,VER,,,0.0,3p,V,2257,3,-1
174,abdiquais,VER,,,0.0,1s,V,2257,3,-1
175,abdiquait,VER,,,0.0,3s,V,2257,3,-1
176,abdiquant,VER,,,0.0,,V,2245,3,-1
177,abdique,VER,,,0.23,2s-1s-3s,V,1368,2,-1
178,abdiquer,VER,,,0.08,,V,2433,3,-1
179,abdiquera,VER,,,0.01,3s,V,229,4,-1
180,abdiquerais,VER,,,0.0,1s,V,185,4,-1
181,abdiquerait,VER,,,0.0,3s,V,185,4,-1
182,abdiquez,VER,,,0.03,2p-2p,V,2433,3,-1
183,abdiqué,VER,m,s,0.11,,V,2433,3,-1
184,abdiquée,VER,f,s,0.0,,V,2433,3,-1
185,abdomen,NOM,m,s,2.76,,V,2991,3,-1
186,abdominal,ADJ,m,s,0.5,,V,3272,4,-1
187,abdominale,ADJ,f,s,1.3,,V,3272,4,-1
188,abdominales,ADJ,f,p,0.7,,V,3272,4,-1
189,abdominaux,ADJ,m,p,0.06,,V,3363,4,-1
190,abdominaux,NOM,m,p,0.09,,V,3363,4,-1
191,abdos,NOM,m,p,0.86,,V,1429,2,-1
192,abducteur,ADJ,m,s,0.01,,V,4361,3,-1
193,abduction,NOM,f,s,0.05,,V,4038,3,-1
194,abeille,NOM,f,s,3.53,,V,828,2,-1
195,abeilles,NOM,f,p,5.59,,V,828,2,-1
196,aber,NOM,m,s,0.25,,V,995,2,-1
197,aberrant,ADJ,m,s,0.58,,V,170,3,-1
198,aberrant,VER,,,0.0,,V,170,3,-1
199,aberrante,ADJ,f,s,0.04,,V,181,3,-1
200,aberrantes,ADJ,f,p,0.2,,V,181,3,-1
201,aberrants,ADJ,m,p,0.02,,V,170,3,-1
202,aberration,NOM,f,s,0.89,,V,4038,4,-1
203,aberrations,NOM,f,p,0.27,,V,4038,4,-1
204,abhorrais,VER,,,0.01,1s,V,185,3,-1
205,abhorrait,VER,,,0.01,3s,V,185,3,-1
206,abhorrant,VER,,,0.01,,V,170,3,-1
207,abhorre,VER,,,0.2,1s-3s,V,841,2,-1
208,abhorrer,VER,,,0.0,,V,263,3,-1
209,abhorrez,VER,,,0.03,2p,V,263,3,-1
210,abhorré,VER,m,s,0.01,,V,263,3,-1
211,abhorré,ADJ,m,s,0.0,,V,263,3,-1
212,abhorrée,VER,f,s,0.0,,V,263,3,-1
213,abhorrée,ADJ,f,s,0.01,,V,263,3,-1
214,abhorrés,VER,m,p,0.0,,V,263,3,-1
215,abject,ADJ,m,s,1.4,,V,614,2,-1
216,abjecte,ADJ,f,s,0.69,,V,614,2,-1
217,abjectement,ADV,,,0.1,,V,2964,4,-1
218,abjectes,ADJ,f,p,0.05,,V,614,2,-1
219,abjection,NOM,f,s,0.37,,V,4038,3,-1
220,abjections,NOM,f,p,0.14,,V,4038,3,-1
221,abjects,ADJ,m,p,0.05,,V,614,2,-1
222,abjurant,VER,,,0.14,,V,170,3,-1
223,abjuration,NOM,f,s,0.0,,V,4038,4,-1
224,abjurations,NOM,f,p,0.0,,V,4038,4,-1
225,abjure,VER,,,0.77,2s-1s-3s,V,717,2,-1
226,abjurer,VER,,,0.22,,V,263,3,-1
227,abjurez,VER,,,0.4,2p-2p,V,263,3,-1
228,abjurons,VER,,,0.0,1p,V,394,3,-1
229,abjuré,VER,m,s,0.0,,V,263,3,-1
230,abkhaze,ADJ,f,s,0.0,,V,2430,2,-1
231,ablatif,NOM,m,s,0.0,,V,4622,3,-1
232,ablation,NOM,f,s,0.43,,V,4038,3,-1
233,ablations,NOM,f,p,0.03,,V,4038,3,-1
234,able,NOM,m,s,0.68,,V,746,1,-1
235,ablette,NOM,f,s,0.0,,V,1070,2,-1
236,ablettes,NOM,f,p,0.14,,V,1070,2,-1
237,ablution,NOM,f,s,0.01,,V,4038,3,-1
238,ablutions,NOM,f,p,0.47,,V,4038,3,-1
239,abnégation,NOM,f,s,0.91,,V,4038,4,-1
240,aboi,NOM,m,s,0.0,,V,1138,2,-1
241,aboie,VER,,,2.91,2s-1s-3s,V,1138,2,-1
242,aboiement,NOM,m,s,0.44,,V,2964,3,-1
243,aboiements,NOM,m,p,1.35,,V,2964,3,-1
244,aboient,VER,,,0.54,3p,V,1138,2,-1
245,aboiera,VER,,,0.21,3s,V,229,3,-1
246,aboierait,VER,,,0.01,3s,V,185,3,-1
247,aboieront,VER,,,0.01,3p,V,394,3,-1
248,aboies,VER,,,0.42,2s,V,1138,2,-1
249,abois,NOM,m,p,0.78,,V,1138,2,-1
250,aboli,ADJ,m,s,0.02,,V,2797,3,-1
251,aboli,VER,m,s,1.1,,V,2797,3,-1
252,abolie,ADJ,f,s,0.06,,V,2797,3,-1
253,abolie,VER,f,s,0.06,,V,2797,3,-1
254,abolies,ADJ,f,p,0.0,,V,2797,3,-1
255,abolies,VER,f,p,0.11,,V,2797,3,-1
256,abolir,VER,,,1.08,,V,2800,3,-1
257,abolira,VER,,,0.01,3s,V,229,4,-1
258,abolirait,VER,,,0.0,3s,V,185,4,-1
259,aboliras,VER,,,0.01,2s,V,229,4,-1
260,abolis,ADJ,m,p,0.0,,V,2797,3,-1
261,abolis,VER,m,p,0.14,1s,V,2797,3,-1
262,abolissaient,VER,,,0.0,3p,V,3861,4,-1
263,abolissais,VER,,,0.0,1s,V,3861,4,-1
264,abolissait,VER,,,0.0,3s,V,3861,4,-1
265,abolissant,VER,,,0.25,,V,3848,4,-1
266,abolissent,VER,,,0.0,3p,V,2815,3,-1
267,abolissions,VER,,,0.0,1p,V,4038,4,-1
268,abolissons,VER,,,0.02,1p-1p,V,4314,4,-1
269,abolit,VER,,,0.29,3s-3s,V,2797,3,-1
270,abolition,NOM,f,s,0.45,,V,4038,4,-1
271,abolitionniste,ADJ,m,s,0.03,,V,3316,5,-1
272,abolitionniste,NOM,,s,0.07,,V,3316,5,-1
273,abolitionnistes,ADJ,,p,0.0,,V,3316,5,-1
274,abolitionnistes,NOM,,p,0.1,,V,3316,5,-1
275,abominable,ADJ,,s,4.78,,V,3261,4,-1
276,abominablement,ADV,,,0.01,,V,2964,6,-1
277,abominables,ADJ,,p,0.62,,V,3261,4,-1
278,abominaient,VER,,,0.0,3p,V,3209,4,-1
279,abomination,NOM,f,s,1.24,,V,4038,5,-1
280,abominations,NOM,f,p,0.69,,V,4038,5,-1
281,abomine,VER,,,0.0,1s-3s,V,3075,3,-1
282,abominer,VER,,,0.0,,V,3287,4,-1
283,abonda,VER,,,0.0,3s,V,1323,3,-1
284,abondai,VER,,,0.0,1s,V,1200,3,-1
285,abondaient,VER,,,0.12,3p,V,1200,3,-1
286,abondais,VER,,,0.01,1s,V,1200,3,-1
287,abondait,VER,,,0.02,3s,V,1200,3,-1
288,abondamment,ADV,,,0.3,,V,2964,4,-1
289,abondance,NOM,f,s,2.76,,V,1198,3,-1
290,abondant,ADJ,m,s,0.09,,V,1194,3,-1
291,abondant,VER,,,0.02,,V,1194,3,-1
292,abondante,ADJ,f,s,0.89,,V,1199,3,-1
293,abondantes,ADJ,f,p,0.33,,V,1199,3,-1
294,abondants,ADJ,m,p,0.05,,V,1194,3,-1
295,abondassent,VER,,,0.0,3p,V,1345,3,-1
296,abonde,VER,,,0.28,1s-3s,V,1169,2,-1
297,abondent,VER,,,0.63,3p,V,1169,2,-1
298,abonder,VER,,,0.03,,V,1353,3,-1
299,abondé,VER,m,s,0.01,,V,1353,3,-1
300,abonnai,VER,,,0.0,1s,V,3209,3,-1
301,abonnant,VER,,,0.01,,V,3206,3,-1
302,abonne,VER,,,0.18,2s-1s-3s,V,859,2,-1
303,abonnement,NOM,m,s,3.37,,V,2964,4,-1
304,abonnements,NOM,m,p,1.45,,V,2964,4,-1
305,abonner,VER,,,0.27,,V,3287,3,-1
306,abonnez,VER,,,0.03,2p-2p,V,3287,3,-1
307,abonnât,VER,,,0.0,3s,V,3253,3,-1
308,abonné,VER,m,s,0.3,,V,3287,3,-1
309,abonné,ADJ,m,s,0.3,,V,3287,3,-1
310,abonné,NOM,m,s,0.3,,V,3287,3,-1
311,abonnée,VER,f,s,0.15,,V,3287,3,-1
312,abonnée,ADJ,f,s,0.01,,V,3287,3,-1
313,abonnée,NOM,f,s,0.04,,V,3287,3,-1
314,abonnées,VER,f,p,0.01,,V,3287,3,-1
315,abonnées,NOM,f,p,0.02,,V,3287,3,-1
316,abonnés,VER,m,p,0.16,,V,3287,3,-1
317,abonnés,ADJ,m,p,0.16,,V,3287,3,-1
318,abonnés,NOM,m,p,0.52,,V,3287,3,-1
319,abord,NOM,m,s,0.89,,V,841,2,-1
320,aborda,VER,,,0.16,3s,V,1323,3,-1
321,abordable,ADJ,,s,0.34,,V,1333,3,-1
322,abordables,ADJ,,p,0.13,,V,1333,3,-1
323,abordage,NOM,m,s,1.17,,V,1331,3,-1
324,abordages,NOM,m,p,0.05,,V,1331,3,-1
325,abordai,VER,,,0.0,1s,V,1200,3,-1
326,abordaient,VER,,,0.03,3p,V,1200,3,-1
327,abordais,VER,,,0.0,1s,V,1200,3,-1
328,abordait,VER,,,0.47,3s,V,1200,3,-1
329,abordant,VER,,,0.03,,V,1194,3,-1
330,aborde,VER,,,1.76,2s-1s-3s,V,843,2,-1
331,abordent,VER,,,0.09,3p,V,843,2,-1
332,aborder,VER,,,5.65,,V,1353,3,-1
333,abordera,VER,,,0.2,3s,V,229,4,-1
334,aborderai,VER,,,0.08,1s,V,185,4,-1
335,aborderaient,VER,,,0.0,3p,V,185,4,-1
336,aborderais,VER,,,0.02,1s,V,185,4,-1
337,aborderait,VER,,,0.02,3s,V,185,4,-1
338,aborderiez,VER,,,0.01,2p,V,329,4,-1
339,aborderions,VER,,,0.0,1p,V,333,4,-1
340,aborderons,VER,,,0.09,1p,V,394,4,-1
341,aborderont,VER,,,0.04,3p,V,394,4,-1
342,abordes,VER,,,0.36,2s,V,843,2,-1
343,abordez,VER,,,0.75,2p-2p,V,1353,3,-1
344,abordiez,VER,,,0.02,2p,V,1415,3,-1
345,abordions,VER,,,0.04,1p,V,1422,3,-1
346,abordons,VER,,,0.72,1p-1p,V,1478,3,-1
347,abords,NOM,m,p,1.33,,V,841,2,-1
348,abordâmes,VER,,,0.0,1p,V,1342,3,-1
349,abordèrent,VER,,,0.01,3p,V,1202,3,-1
350,abordé,VER,m,s,1.36,,V,1353,3,-1
351,abordé,ADJ,m,s,0.03,,V,1353,3,-1
352,abordée,VER,f,s,0.34,,V,1353,3,-1
353,abordées,VER,f,p,0.05,,V,1353,3,-1
354,abordées,ADJ,f,p,0.0,,V,1353,3,-1
355,abordés,VER,m,p,0.26,,V,1353,3,-1
356,abordés,ADJ,m,p,0.12,,V,1353,3,-1
357,aborigène,ADJ,,s,0.1,,V,617,4,-1
358,aborigène,NOM,,s,0.21,,V,617,4,-1
359,aborigènes,ADJ,,p,0.07,,V,617,4,-1
360,aborigènes,NOM,,p,0.39,,V,617,4,-1
361,abornement,NOM,m,s,0.0,,V,2964,4,-1
362,abortif,ADJ,m,s,0.01,,V,4622,3,-1
363,abortive,ADJ,f,s,0.01,,V,4640,3,-1
364,abortives,ADJ,f,p,0.02,,V,4640,3,-1
365,abouchaient,VER,,,0.0,3p,V,426,3,-1
366,abouchais,VER,,,0.0,1s,V,426,3,-1
367,abouchait,VER,,,0.0,3s,V,426,3,-1
368,abouchant,VER,,,0.0,,V,416,3,-1
369,abouchements,NOM,m,p,0.0,,V,2964,4,-1
370,aboucher,VER,,,0.0,,V,473,3,-1
371,abouché,VER,m,s,0.0,,V,473,3,-1
372,abouchée,VER,f,s,0.0,,V,473,3,-1
373,abouchés,VER,m,p,0.0,,V,473,3,-1
374,aboule,VER,,,1.43,2s-3s,V,1127,2,-1
375,abouler,VER,,,0.11,,V,2794,3,-1
376,aboules,VER,,,0.01,2s,V,1127,2,-1
377,aboulez,VER,,,0.25,2p,V,2794,3,-1
378,aboulie,NOM,f,s,0.0,,V,2797,3,-1
379,aboulique,NOM,,s,0.0,,V,2809,3,-1
380,abouliques,ADJ,,p,0.0,,V,2809,3,-1
381,abounas,NOM,m,p,0.0,,V,3253,3,-1
382,about,NOM,m,s,5.94,,V,1111,2,-1
383,aboutait,VER,,,0.0,3s,V,4380,3,-1
384,abouti,ADJ,m,s,0.04,,V,4613,3,-1
385,abouti,VER,m,s,1.24,,V,4613,3,-1
386,aboutie,ADJ,f,s,0.04,,V,4613,3,-1
387,aboutie,VER,f,s,0.04,,V,4613,3,-1
388,aboutir,VER,,,1.34,,V,4616,3,-1
389,aboutira,VER,,,0.29,3s,V,229,4,-1
390,aboutirai,VER,,,0.0,1s,V,185,4,-1
391,aboutiraient,VER,,,0.01,3p,V,185,4,-1
392,aboutirais,VER,,,0.0,1s,V,185,4,-1
393,aboutirait,VER,,,0.05,3s,V,185,4,-1
394,aboutiras,VER,,,0.0,2s,V,229,4,-1
395,aboutirent,VER,,,0.0,3p,V,4616,3,-1
396,aboutirons,VER,,,0.01,1p,V,394,4,-1
397,aboutiront,VER,,,0.04,3p,V,394,4,-1
398,aboutis,ADJ,m,p,0.03,,V,4613,3,-1
399,aboutis,VER,m,p,0.07,1s-2s,V,4613,3,-1
400,aboutissaient,VER,,,0.15,3p,V,3861,4,-1
401,aboutissait,VER,,,0.03,3s,V,3861,4,-1
402,aboutissant,VER,,,0.0,,V,3848,4,-1
403,aboutissant,NOM,m,s,0.0,,V,3848,4,-1
404,aboutissants,NOM,m,p,0.09,,V,3848,4,-1
405,aboutisse,VER,,,0.08,1s-3s,V,4634,3,-1
406,aboutissement,NOM,m,s,0.5,,V,2964,5,-1
407,aboutissent,VER,,,0.47,3p,V,4634,3,-1
408,aboutissez,VER,,,0.02,2p,V,3949,4,-1
409,aboutissiez,VER,,,0.0,2p,V,4031,4,-1
410,aboutissions,VER,,,0.0,1p,V,4038,4,-1
411,aboutit,VER,,,1.5,3s-3s,V,4613,3,-1
412,aboutonnai,VER,,,0.0,1s,V,3209,4,-1
413,aboutons,VER,,,0.0,1p,V,4757,3,-1
414,aboutîmes,VER,,,0.0,1p,V,4630,3,-1
415,aboya,VER,,,0.0,3s,V,2165,3,-1
416,aboyaient,VER,,,0.05,3p,V,2144,3,-1
417,aboyait,VER,,,0.33,3s,V,2144,3,-1
418,aboyant,ADJ,m,s,0.01,,V,2137,3,-1
419,aboyant,VER,,,0.18,,V,2137,3,-1
420,aboyante,ADJ,f,s,0.0,,V,2143,3,-1
421,aboyer,VER,,,2.39,,V,2181,3,-1
422,aboyeur,ADJ,m,s,0.03,,V,2135,3,-1
423,aboyeur,NOM,m,s,0.05,,V,2135,3,-1
424,aboyeurs,ADJ,m,p,0.0,,V,2135,3,-1
425,aboyeurs,NOM,m,p,0.01,,V,2135,3,-1
426,aboyons,VER,,,0.1,1p,V,2208,3,-1
427,aboyèrent,VER,,,0.0,3p,V,2145,3,-1
428,aboyé,VER,m,s,0.28,,V,2181,3,-1
429,abracadabra,NOM,m,s,0.98,,V,905,5,-1
430,abracadabrant,ADJ,m,s,0.03,,V,879,5,-1
431,abracadabrante,ADJ,f,s,0.13,,V,885,5,-1
432,abracadabrantes,ADJ,f,p,0.1,,V,885,5,-1
433,abracadabrants,ADJ,m,p,0.0,,V,879,5,-1
434,abracadabré,VER,m,s,0.01,,V,917,5,-1
435,abrasif,ADJ,m,s,0.04,,V,5151,3,-1
436,abrasif,NOM,m,s,0.13,,V,5151,3,-1
437,abrasifs,ADJ,m,p,0.01,,V,5151,3,-1
438,abrasifs,NOM,m,p,0.03,,V,5151,3,-1
439,abrasion,NOM,f,s,0.19,,V,5186,3,-1
440,abrasive,ADJ,f,s,0.04,,V,5163,3,-1
441,abrasé,VER,m,s,0.0,,V,5141,3,-1
442,abraxas,NOM,m,,0.29,,V,3939,3,-1
443,abreuva,VER,,,0.0,3s,V,4887,3,-1
444,abreuvage,NOM,m,s,0.0,,V,4891,3,-1
445,abreuvaient,VER,,,0.0,3p,V,4811,3,-1
446,abreuvait,VER,,,0.03,3s,V,4811,3,-1
447,abreuvant,VER,,,0.01,,V,4801,3,-1
448,abreuve,VER,,,0.23,2s-1s-3s,V,878,2,-1
449,abreuvent,VER,,,0.04,3p,V,878,2,-1
450,abreuver,VER,,,0.48,,V,4910,3,-1
451,abreuvera,VER,,,0.11,3s,V,229,4,-1
452,abreuveraient,VER,,,0.0,3p,V,185,4,-1
453,abreuvez,VER,,,0.03,2p-2p,V,4910,3,-1
454,abreuvoir,NOM,m,s,0.34,,V,4985,3,-1
455,abreuvoirs,NOM,m,p,0.01,,V,4985,3,-1
456,abreuvons,VER,,,0.01,1p,V,5003,3,-1
457,abreuvé,VER,m,s,0.04,,V,4910,3,-1
458,abreuvé,ADJ,m,s,0.0,,V,4910,3,-1
459,abreuvée,VER,f,s,0.1,,V,4910,3,-1
460,abreuvés,VER,m,p,0.04,,V,4910,3,-1
461,abreuvés,ADJ,m,p,0.01,,V,4910,3,-1
462,abri,NOM,m,s,22.7,,V,919,2,-1
463,abri-refuge,NOM,m,s,0.0,,V,1811,4,-1
464,abribus,NOM,m,,0.04,,V,1162,3,-1
465,abricot,ADJ,,,0.08,,V,2543,3,-1
466,abricot,NOM,m,s,0.5,,V,2543,3,-1
467,abricotez,VER,,,0.01,2p,V,4605,4,-1
468,abricotier,NOM,m,s,0.02,,V,4667,4,-1
469,abricotiers,NOM,m,p,0.0,,V,4667,4,-1
470,abricotine,NOM,f,s,0.0,,V,4631,4,-1
471,abricots,NOM,m,p,0.74,,V,2543,3,-1
472,abris,NOM,m,p,3.2,,V,919,2,-1
473,abrita,VER,,,0.02,3s,V,4566,3,-1
474,abritai,VER,,,0.0,1s,V,4380,3,-1
