id,ortho,cgram,genre,nombre,freqfilms,verper,cvcv,iddersyll,nbsyll,haspir
5887,andine,ADJ,f,s,0.01,,V,1372,2,-1
5888,andines,ADJ,f,p,0.0,,V,1372,2,-1
5889,andorranes,ADJ,f,p,0.0,,V,252,3,-1
5890,andouille,NOM,f,s,6.29,,V,1446,2,-1
5891,andouiller,NOM,m,s,0.0,,V,2181,3,-1
5892,andouillers,NOM,m,p,0.02,,V,2181,3,-1
5893,andouilles,NOM,f,p,0.65,,V,1446,2,-1
5894,andouillette,NOM,f,s,0.04,,V,2155,3,-1
5895,andouillettes,NOM,f,p,0.03,,V,2155,3,-1
5896,andrinople,NOM,f,s,0.0,,V,3247,3,-1
5897,androgyne,ADJ,,s,0.04,,V,658,3,-1
5898,androgyne,NOM,,s,0.16,,V,658,3,-1
5899,androgynes,ADJ,,p,0.01,,V,658,3,-1
5900,androgynes,NOM,,p,0.01,,V,658,3,-1
5901,androgynie,NOM,f,s,0.0,,V,3290,4,-1
5902,androgynique,ADJ,,s,0.0,,V,3305,4,-1
5903,androgènes,NOM,m,p,0.01,,V,617,3,-1
5904,andropause,NOM,f,s,0.23,,V,3743,3,-1
5905,androïde,ADJ,f,s,0.12,,V,2111,3,-1
5906,androïde,NOM,m,s,0.44,,V,2111,3,-1
5907,androïdes,ADJ,m,p,0.03,,V,2111,3,-1
5908,androïdes,NOM,m,p,0.38,,V,2111,3,-1
5909,anecdote,NOM,f,s,1.13,,V,1245,3,-1
5910,anecdotes,NOM,f,p,0.99,,V,1245,3,-1
5911,anecdotier,NOM,m,s,0.01,,V,4667,4,-1
5912,anecdotique,ADJ,,s,0.14,,V,4626,4,-1
5913,anecdotiquement,ADV,,,0.0,,V,2964,6,-1
5914,anecdotiques,ADJ,,p,0.04,,V,4626,4,-1
5915,anesthésia,VER,,,0.0,3s,V,5176,4,-1
5916,anesthésiaient,VER,,,0.0,3p,V,5170,4,-1
5917,anesthésiait,VER,,,0.0,3s,V,5170,4,-1
5918,anesthésiant,ADJ,m,s,0.27,,V,5168,4,-1
5919,anesthésiant,NOM,m,s,0.44,,V,5168,4,-1
5920,anesthésiant,VER,,,0.03,,V,5168,4,-1
5921,anesthésiante,ADJ,f,s,0.0,,V,5169,4,-1
5922,anesthésiantes,ADJ,f,p,0.02,,V,5169,4,-1
5923,anesthésiants,ADJ,m,p,0.02,,V,5168,4,-1
5924,anesthésiants,NOM,m,p,0.0,,V,5168,4,-1
5925,anesthésie,NOM,f,s,3.71,,V,5143,4,-1
5926,anesthésie,VER,,,0.33,2s-1s-3s,V,5143,4,-1
5927,anesthésient,VER,,,0.01,3p,V,5143,4,-1
5928,anesthésier,VER,,,0.37,,V,5183,4,-1
5929,anesthésierai,VER,,,0.01,1s,V,185,5,-1
5930,anesthésies,NOM,f,p,0.02,,V,5143,4,-1
5931,anesthésies,VER,,,0.01,2s,V,5143,4,-1
5932,anesthésiez,VER,,,0.16,2p-2p,V,5183,4,-1
5933,anesthésions,VER,,,0.02,1p,V,5186,4,-1
5934,anesthésique,ADJ,m,s,0.21,,V,5154,4,-1
5935,anesthésique,NOM,m,s,0.44,,V,5154,4,-1
5936,anesthésiques,NOM,m,p,0.03,,V,5154,4,-1
5937,anesthésiste,NOM,,s,0.82,,V,5161,4,-1
5938,anesthésistes,NOM,,p,0.25,,V,5161,4,-1
5939,anesthésié,VER,m,s,0.14,,V,5183,4,-1
5940,anesthésiée,VER,f,s,0.08,,V,5183,4,-1
5941,anesthésiées,VER,f,p,0.0,,V,5183,4,-1
5942,anesthésiés,VER,m,p,0.01,,V,5183,4,-1
5943,aneth,NOM,m,s,0.07,,V,3232,2,-1
5944,anfractuosité,NOM,f,s,0.14,,V,4605,5,-1
5945,anfractuosités,NOM,f,p,0.0,,V,4605,5,-1
5946,ange,NOM,m,s,47.9,,V,26,1,-1
5947,angelot,NOM,m,s,0.37,,V,2866,3,-1
5948,angelots,NOM,m,p,0.32,,V,2866,3,-1
5949,anges,NOM,m,p,21.38,,V,26,1,-1
5950,angevin,ADJ,m,s,0.1,,V,4788,3,-1
5951,angevine,ADJ,f,s,0.0,,V,4926,3,-1
5952,angevine,NOM,f,s,0.0,,V,4926,3,-1
5953,angevins,NOM,m,p,0.0,,V,4788,3,-1
5954,angine,NOM,f,s,1.2,,V,658,2,-1
5955,angines,NOM,f,p,0.19,,V,658,2,-1
5956,angiocholite,NOM,f,s,0.01,,V,2819,4,-1
5957,angiographie,NOM,f,s,0.32,,V,1648,4,-1
5958,angiome,NOM,m,s,0.13,,V,682,2,-1
5959,angioplastie,NOM,f,s,0.19,,V,4613,4,-1
5960,anglais,ADJ,m,,23.02,,V,2010,2,-1
5961,anglais,NOM,m,,48.81,,V,2010,2,-1
5962,anglais,VER,,,0.2,1s-2s,V,2010,2,-1
5963,anglaise,ADJ,f,s,8.21,,V,2016,2,-1
5964,anglaise,NOM,f,s,1.87,,V,2016,2,-1
5965,anglaises,ADJ,f,p,1.0,,V,2016,2,-1
5966,anglaises,NOM,f,p,0.33,,V,2016,2,-1
5967,angle,NOM,m,s,11.56,,V,32,1,-1
5968,angler,VER,,,0.01,,V,2029,2,-1
5969,angles,NOM,m,p,1.73,,V,32,1,-1
5970,angleterre,NOM,f,s,0.2,,V,4382,3,-1
5971,anglican,ADJ,m,s,0.06,,V,2245,3,-1
5972,anglican,NOM,m,s,0.02,,V,2245,3,-1
5973,anglicane,ADJ,f,s,0.1,,V,2416,3,-1
5974,anglicane,NOM,f,s,0.01,,V,2416,3,-1
5975,anglicans,ADJ,m,p,0.0,,V,2245,3,-1
5976,anglicans,NOM,m,p,0.01,,V,2245,3,-1
5977,angliche,NOM,,s,0.32,,V,2030,2,-1
5978,angliches,NOM,,p,0.12,,V,2030,2,-1
5979,anglicisation,NOM,f,s,0.0,,V,4038,5,-1
5980,angliciser,VER,,,0.01,,V,5141,4,-1
5981,anglicismes,NOM,m,p,0.0,,V,3998,3,-1
5982,anglicisé,VER,m,s,0.1,,V,5141,4,-1
5983,anglo-albanais,ADJ,m,s,0.0,,V,3209,5,-1
5984,anglo-allemand,ADJ,m,s,0.01,,V,2964,5,-1
5985,anglo-américain,ADJ,m,s,0.01,,V,2215,6,-1
5986,anglo-américaine,ADJ,f,s,0.02,,V,2266,6,-1
5987,anglo-américaines,ADJ,f,p,0.0,,V,2266,6,-1
5988,anglo-américains,ADJ,m,p,0.02,,V,2215,6,-1
5989,anglo-américains,NOM,m,p,0.0,,V,2215,6,-1
5990,anglo-arabe,ADJ,,s,0.0,,V,235,4,-1
5991,anglo-arabe,NOM,m,s,0.0,,V,235,4,-1
5992,anglo-arabes,ADJ,m,p,0.0,,V,235,4,-1
5993,anglo-chinois,ADJ,m,s,0.01,,V,3387,4,-1
5994,anglo-français,ADJ,m,s,0.01,,V,3861,4,-1
5995,anglo-française,ADJ,f,s,0.01,,V,3896,4,-1
5996,anglo-hellénique,ADJ,f,s,0.0,,V,3305,5,-1
